Obs,Domain,Indicator,Measures,Data Breakdowns,Disaggregation,nObs,Percent,CI_low_95,CI_Upper_95,CV,CV_Interpretation,Label_,Source,Notes,Population,Measure,Definition,Data Source,Data Available,Population2,Estimate Calculation,Additional Remarks
6,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Sex — child,Females,,92,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by sex (child), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
7,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,Total population,,91.1,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
8,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,Less than 20,,97,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
9,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,20-24,,82.9,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
10,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,25-29,,90.2,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
11,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,30-34,,91.1,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
12,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,35-39,,92.2,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
13,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,40-44,,92.9,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
14,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,45-49,,87.2,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
15,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,50-54,,87.5,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
16,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,55-59,,86.8,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
17,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — parent,60+,,64.5,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (parent), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
18,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — child,Total population,,91.1,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (child), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
19,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — child,05-Jan,,91.8,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (child), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
20,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Age group — child,09-Jun,,90.9,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by age group (child), Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
21,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Household income,Total population,,91.1,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by household income, Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
22,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Household income,Less than $80 000,,88.2,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by household income, Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
23,Family-Level Risk & Protective Factors,Family relationships,Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,Household income,$80 000+,,87.8,,,,3,Percentage (%),Survey of Young Canadians - Person Most Knowledgeable 2010-2011,,"aged 1-9 years, by household income, Canada, 2010-2011",Percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning,"Estimated percentage (%) of parents/guardians of children aged 1-9 years who report characteristics associated with high family functioning, based on a 12-dimension measure (each with a response range 1-4, from ""strongly disagree"", ""disagree"", ""agree"", to strongly agree""). High family functioning was defined as answering at least ten out of 12 at the 3-4 level",Survey of Young Canadians - Person Most Knowledgeable (SYC-PMK) (2010-2011),"Sex-parent, Sex-child, 5-year age group-parent, 5-year age group-child, Household income",Children aged 1-9 years (all provinces),"Numerator (weighted estimate): Number of parents/guardians, of children aged 1-9, who report characteristics associated with high family functioning Denominator: Number of parents/guardians of children aged 1-9 (sample is 1 child per household)",The sampling unit is the child and the respondent is the parent/guardian (1 child per household). This measure is from the PMK component of the SYC
1,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Sex,Total population,17505,64.8,64,65.7,0.7,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by sex, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
2,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Sex,Females,8741,63.1,61.9,64.3,1,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by sex, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
3,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Sex,Males,8764,66.7,65.5,68,1,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by sex, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
4,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Total population,17560,64.8,64,65.7,0.7,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
5,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Grade 6,3061,75.2,73.3,77.2,1.3,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
6,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Grade 7,3750,69.8,68.1,71.6,1.3,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
7,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Grade 8,3385,64.2,62.3,66.1,1.5,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
8,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Grade 9,3891,60.6,58.7,62.5,1.6,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
9,Family-Level Risk & Protective Factors,Family relationships,"Percentage (%) of Grade 6-10 students who ""agree"" or ""strongly agree"" to getting the emotional help and support they need from their family",Grade,Grade 10,3473,58.2,56.1,60.3,1.8,3,Percentage (%),Health Behaviour in School-Aged Children 2013-2014,,"students in grades 6-10, by grade, Canada, 2013-2014",Percentage (%) of grade 6-10 students who agree or strongly agree to getting the emotional help and support they need form their family,"Estimated percentage of grade 6–10 students who ""agree"" or ""strongly agree"" (versus ""neither agree nor disagree"", ""disagree"", ""strongly disagree"") that they get the emotional help and support they need from their family","Health Behaviour in School-Aged Children (HBSC) (2013-2014), Public Health Agency of Canada","Sex, Grade (6-10)",Grade 6-10 students (all provinces and territories),"Numerator (weighted estimate): Number of grade 6–12 students who agree or strongly agreethat that they get the emotional help and support they need from their family Denominator: Total population, grade 6–12 students",School-based self-report surveys among grade 6-10 students (ages 11-15 years) in 377 Canadian schools in all provinces and territories
