Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Mental Health,Self-reported poor mental health status,Age group,55 years or more,Canada,11.9
Mental Health,Self-reported poor mental health status,Gender lived,CisF,Canada,20.5
Mental Health,Self-reported poor mental health status,Gender lived,CisM,Canada,13.1
Mental Health,Self-reported poor mental health status,Gender lived,TFEM,Canada,11.1
Mental Health,Self-reported poor mental health status,Gender lived,TMAS,Canada,50
Mental Health,Self-reported poor mental health status,None,None,"Whitehorse, YK",14.3
Mental Health,Self-reported poor mental health status,None,None,"Central and Northern Vancouver Island, BC",19.7
Mental Health,Self-reported poor mental health status,None,None,"Prince Albert, SK",8.9
Mental Health,Self-reported poor mental health status,None,None,"Regina, SK",13.7
Mental Health,Self-reported poor mental health status,None,None,"Winnipeg, MN",21.2
Mental Health,Self-reported poor mental health status,None,None,"Thunder Bay, ON",11.5
Mental Health,Self-reported poor mental health status,None,None,"London, ON",14.2
Mental Health,Self-reported poor mental health status,None,None,"Hamilton, ON",17.5
Mental Health,Self-reported poor mental health status,None,None,New Brunswick,18.6
Mental Health,Self-reported poor mental health status,None,None,Newfoundland,21.7
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Whitehorse, YK",25
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",13.6
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",18.7
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",23.9
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"Central and Northern Vancouver Island, BC",21.1
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Prince Albert, SK",11
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Prince Albert, SK",5.9
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"Prince Albert, SK",12.5
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,"Regina, SK",11.1
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Regina, SK",12.7
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Regina, SK",18.3
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,"Winnipeg, MN",5.3
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Winnipeg, MN",27.8
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Winnipeg, MN",18.3
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"Winnipeg, MN",20
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Thunder Bay, ON",14
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Thunder Bay, ON",12.3
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"Thunder Bay, ON",6.7
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,"London, ON",8.3
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"London, ON",21.2
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"London, ON",9.2
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"London, ON",8.3
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,"Hamilton, ON",25
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,"Hamilton, ON",17.5
Mental Health,Self-reported poor mental health status,Age group,55 years or more,"Hamilton, ON",8.3
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,New Brunswick,50
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,New Brunswick,17.7
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,New Brunswick,13.3
Mental Health,Self-reported poor mental health status,Age group,55 years or more,New Brunswick,27.8
Mental Health,Self-reported poor mental health status,Age group,Less than 25 years,Newfoundland,19.2
Mental Health,Self-reported poor mental health status,Age group,25 to 39 years,Newfoundland,27.4
Mental Health,Self-reported poor mental health status,Age group,40 to 54 years,Newfoundland,16.7
Mental Health,Self-reported poor mental health status,Age group,55 years or more,Newfoundland,9.1
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Whitehorse, YK",20
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Whitehorse, YK",8.3
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Central and Northern Vancouver Island, BC",28.3
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Central and Northern Vancouver Island, BC",14.5
Mental Health,Self-reported poor mental health status,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Prince Albert, SK",7.4
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Prince Albert, SK",10.8
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Regina, SK",16.9
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Regina, SK",10.7
Mental Health,Self-reported poor mental health status,Gender lived,TMAS,"Regina, SK",66.7
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Winnipeg, MN",30.7
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Winnipeg, MN",13.5
Mental Health,Self-reported poor mental health status,Gender lived,TMAS,"Winnipeg, MN",40
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Thunder Bay, ON",15.9
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Thunder Bay, ON",8.5
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"London, ON",17.1
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"London, ON",13.8
Mental Health,Self-reported poor mental health status,Gender lived,CisF,"Hamilton, ON",19.6
Mental Health,Self-reported poor mental health status,Gender lived,CisM,"Hamilton, ON",16.3
Mental Health,Self-reported poor mental health status,Gender lived,TMAS,"Hamilton, ON",100
Mental Health,Self-reported poor mental health status,Gender lived,CisF,New Brunswick,24.3
Mental Health,Self-reported poor mental health status,Gender lived,CisM,New Brunswick,14.4
Mental Health,Self-reported poor mental health status,Gender lived,TFEM,New Brunswick,50
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,Canada,82.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,Canada,85.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,Canada,86.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,Canada,77.2
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,Canada,79.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,Canada,87.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,Canada,79.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,Canada,76.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,Canada,86.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Whitehorse, YK",83.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Central and Northern Vancouver Island, BC",86.4
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Prince Albert, SK",81.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Regina, SK",83.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Winnipeg, MN",90.2
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Thunder Bay, ON",77.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,"Hamilton, ON",82.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,New Brunswick,79.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",None,None,Newfoundland,79.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Whitehorse, YK",66.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Whitehorse, YK",89.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Whitehorse, YK",73.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Whitehorse, YK",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",81.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",90.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",80
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Central and Northern Vancouver Island, BC",89.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Prince Albert, SK",33.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Prince Albert, SK",82.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Prince Albert, SK",82.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Prince Albert, SK",85.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Regina, SK",88.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Regina, SK",88.6
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Regina, SK",78.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Regina, SK",81.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Winnipeg, MN",94.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Winnipeg, MN",89.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Winnipeg, MN",89.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Winnipeg, MN",89.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Thunder Bay, ON",85.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Thunder Bay, ON",84.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Thunder Bay, ON",64.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Thunder Bay, ON",66.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,"Hamilton, ON",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,"Hamilton, ON",90.6
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,"Hamilton, ON",78.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,"Hamilton, ON",74.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,New Brunswick,90
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,New Brunswick,87.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,New Brunswick,69.3
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,New Brunswick,77.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,Less than 25 years,Newfoundland,84.6
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,25 to 39 years,Newfoundland,80.6
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,40 to 54 years,Newfoundland,75.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Age group,55 years or more,Newfoundland,72.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Whitehorse, YK",88
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Whitehorse, YK",79.2
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Central and Northern Vancouver Island, BC",91.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Central and Northern Vancouver Island, BC",83.6
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Prince Albert, SK",81.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Prince Albert, SK",81.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,"Prince Albert, SK",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,"Prince Albert, SK",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Regina, SK",89.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Regina, SK",79.2
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,"Regina, SK",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,"Regina, SK",66.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Winnipeg, MN",93
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Winnipeg, MN",87.1
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,"Winnipeg, MN",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,"Winnipeg, MN",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Thunder Bay, ON",81.5
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Thunder Bay, ON",75.2
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,"Hamilton, ON",80.4
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,"Hamilton, ON",82.9
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,"Hamilton, ON",100
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TMAS,"Hamilton, ON",50
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisF,New Brunswick,95.7
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,CisM,New Brunswick,72.8
Experience of Stigma and Discrimination,"1015_b - Experience of stigma and discrimination, past 12 months",Gender lived,TFEM,New Brunswick,25
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,Canada,88.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,Canada,89.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,Canada,91
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,Canada,85.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,Canada,86.8
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,Canada,92.2
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,Canada,86.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,Canada,88.2
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,Canada,93.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Whitehorse, YK",93.9
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Central and Northern Vancouver Island, BC",91
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Prince Albert, SK",92.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Regina, SK",87.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Winnipeg, MN",93.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Thunder Bay, ON",84.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,"Hamilton, ON",87.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,New Brunswick,85.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",None,None,Newfoundland,86.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Whitehorse, YK",66.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Whitehorse, YK",96.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Whitehorse, YK",93.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Whitehorse, YK",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",86.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",93.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",89.1
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Central and Northern Vancouver Island, BC",89.5
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Prince Albert, SK",33.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Prince Albert, SK",94
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Prince Albert, SK",94
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Prince Albert, SK",85.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Regina, SK",88.9
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Regina, SK",91.1
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Regina, SK",84
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Regina, SK",86.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Winnipeg, MN",94.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Winnipeg, MN",93.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Winnipeg, MN",94.8
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Winnipeg, MN",90
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Thunder Bay, ON",90.5
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Thunder Bay, ON",86.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Thunder Bay, ON",77.2
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Thunder Bay, ON",86.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,"Hamilton, ON",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,"Hamilton, ON",90.6
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,"Hamilton, ON",85.9
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,"Hamilton, ON",83.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,New Brunswick,90
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,New Brunswick,90.6
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,New Brunswick,78.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,New Brunswick,83.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,Less than 25 years,Newfoundland,96.2
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,25 to 39 years,Newfoundland,85.5
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,40 to 54 years,Newfoundland,79.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Age group,55 years or more,Newfoundland,90.9
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Whitehorse, YK",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Whitehorse, YK",87.5
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Central and Northern Vancouver Island, BC",93.3
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Central and Northern Vancouver Island, BC",89.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Prince Albert, SK",91.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Prince Albert, SK",93.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,"Prince Albert, SK",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,"Prince Albert, SK",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Regina, SK",91
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Regina, SK",85
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,"Regina, SK",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,"Regina, SK",66.7
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Winnipeg, MN",97.2
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Winnipeg, MN",90.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,"Winnipeg, MN",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,"Winnipeg, MN",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Thunder Bay, ON",86.4
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Thunder Bay, ON",82.9
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,"Hamilton, ON",87
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,"Hamilton, ON",86.8
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,"Hamilton, ON",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TMAS,"Hamilton, ON",100
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisF,New Brunswick,97.1
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,CisM,New Brunswick,80
Experience of Stigma and Discrimination,"1015_a - Experience of stigma and discrimination, ever",Gender lived,TFEM,New Brunswick,50
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,Canada,85
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,Canada,78.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,Canada,84.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,Canada,88.3
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,Canada,81.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisF,Canada,89.1
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,CisM,Canada,82.1
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TFEM,Canada,87.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,Gender lived,TMAS,Canada,100
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Whitehorse, YK",89.8
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Central and Northern Vancouver Island, BC",89.8
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Prince Albert, SK",86.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Regina, SK",85.8
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Winnipeg, MN",89.5
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Thunder Bay, ON",77.9
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,"Hamilton, ON",89.1
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,New Brunswick,84.4
Experience of Sexual Abuse,1016_a - Previous childhood experience,None,None,Newfoundland,73.6
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Whitehorse, YK",66.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,25 to 39 years,"Whitehorse, YK",85.7
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,40 to 54 years,"Whitehorse, YK",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,55 years or more,"Whitehorse, YK",100
Experience of Sexual Abuse,1016_a - Previous childhood experience,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",90.9
